h3_polygon,route_id,route_long_name,trip_id,company,transport_mode,stop_sequence,arrival_time,departure_time,stop_name,stop_lon,stop_lat,arrival_date,departure_date,h3_cell
"POLYGON ((2.610752 43.261291, 2.550028 43.030267, 2.783479 42.889356, 3.078658 42.979224, 3.141109 43.210561, 2.906656 43.351719, 2.610752 43.261291))",FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,Bordeaux - Marseille,OCESN4762F3133945:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,4,15:58:00,16:02:00,Narbonne,3.005667,43.190618,2024-11-03 15:58:00,2024-11-03 15:58:00,595484760185241599
"POLYGON ((1.383524 43.746496, 1.326399 43.51629, 1.55531 43.354726, 1.84769 43.447494, 1.906369 43.677485, 1.67093 43.814367, 1.383524 43.746496))",FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,Bordeaux - Marseille,OCESN4762F3133945:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,6,17:20:00,17:26:00,Toulouse Matabiau,1.453616,43.611206,2024-11-03 17:20:00,2024-11-03 17:20:00,595484511077138431
"POLYGON ((0.449245 44.391686, 0.157033 44.321297, 0.102941 44.089763, 0.339598 43.929361, 0.629781 43.999905, 0.685327 44.230696, 0.449245 44.391686))",FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,Bordeaux - Marseille,OCESN4762F3133945:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,8,18:33:00,18:35:00,Agen,0.620867,44.207967,2024-11-03 18:33:00,2024-11-03 18:33:00,595484803134914559
"POLYGON ((0.449245 44.391686, 0.157033 44.321297, 0.102941 44.089763, 0.339598 43.929361, 0.629781 43.999905, 0.685327 44.230696, 0.449245 44.391686))",FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,Bordeaux - Marseille,OCESN4766F3495601:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,8,22:30:00,22:32:00,Agen,0.620867,44.207967,2024-11-03 22:30:00,2024-11-03 22:30:00,595484803134914559
"POLYGON ((-0.459069 45.264527, -0.75674 45.193002, -0.808824 44.961184, -0.564791 44.801606, -0.269192 44.873254, -0.215564 45.104356, -0.459069 45.264527))",FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,Bordeaux - Marseille,OCESN4766F3495601:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,9,23:39:00,23:39:00,Bordeaux Saint-Jean,-0.556875,44.825233,2024-11-03 23:39:00,2024-11-03 23:39:00,594904750621720575
"POLYGON ((6.961601 43.857337, 6.885936 43.626167, 7.121022 43.47529, 7.432543 43.555264, 7.509948 43.786609, 7.274094 43.937809, 6.961601 43.857337))",FR:Line::12b11167-efd2-4576-8d30-f057d227530d:,Paris Austerlitz - Nice,OCESN5772F3382683:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,0,19:07:00,19:07:00,Nice-Ville,7.261904,43.704556,2024-11-03 19:07:00,2024-11-03 19:07:00,595485172502102015
"POLYGON ((2.832259 47.079562, 2.767743 46.855783, 3.012846 46.722992, 3.323557 46.813739, 3.389976 47.037783, 3.143783 47.170817, 2.832259 47.079562))",FR:Line::cfa40ffd-5af4-49b0-99a9-99857ba5f7ff:,Paris - Nevers - Clermont,OCESN5955F3169942:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,1,10:56:00,10:58:00,Nevers,3.150743,46.987282,2024-11-03 10:56:00,2024-11-03 10:56:00,595030722012512255
"POLYGON ((2.249146 49.036218, 1.9384 48.979596, 1.874725 48.758141, 2.120222 48.594025, 2.428614 48.650849, 2.493851 48.871587, 2.249146 49.036218))",FR:Line::cfa40ffd-5af4-49b0-99a9-99857ba5f7ff:,Paris - Nevers - Clermont,OCESN5959F2858380:2024-10-15T00:33:00Z,sncf_intercites,TRAIN,0,13:00:00,13:00:00,Paris Bercy Bourg. Pays d'Auv.,2.382791,48.839215,2024-11-03 13:00:00,2024-11-03 13:00:00,595032912445833215
"POLYGON ((2.249146 49.036218, 1.9384 48.979596, 1.874725 48.758141, 2.120222 48.594025, 2.428614 48.650849, 2.493851 48.871587, 2.249146 49.036218))",FR:Line::cfa40ffd-5af4-49b0-99a9-99857ba5f7ff:,Paris - Nevers - Clermont,OCESN5963F2542971:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,0,14:01:00,14:01:00,Paris Bercy Bourg. Pays d'Auv.,2.382791,48.839215,2024-11-03 14:01:00,2024-11-03 14:01:00,595032912445833215
"POLYGON ((3.191992 46.364262, 3.126839 46.138841, 3.369712 46.003392, 3.678788 46.093114, 3.745809 46.318798, 3.501887 46.454498, 3.191992 46.364262))",FR:Line::cfa40ffd-5af4-49b0-99a9-99857ba5f7ff:,Paris - Nevers - Clermont,OCESN5979F3163189:2024-10-15T00:33:00Z,sncf_intercites,TRAIN,3,20:53:00,20:55:00,Vichy,3.430476,46.126991,2024-11-03 20:53:00,2024-11-03 20:53:00,595030713422577663
"POLYGON ((2.832259 47.079562, 2.767743 46.855783, 3.012846 46.722992, 3.323557 46.813739, 3.389976 47.037783, 3.143783 47.170817, 2.832259 47.079562))",FR:Line::cfa40ffd-5af4-49b0-99a9-99857ba5f7ff:,Paris - Nevers - Clermont,OCESN5982F3459488:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,4,18:59:00,19:01:00,Nevers,3.150743,46.987282,2024-11-03 18:59:00,2024-11-03 18:59:00,595030722012512255
