h3_cell,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
595032646157860863,Quincy-sous-Sénart,Quincy-sous-Senart,48.6714,2.5407,France,FR,FRA,Île-de-France,,9477,1250864916
595484562616745983,Léguevin,Leguevin,43.5997,1.2339,France,FR,FRA,Occitanie,,9474,1250110389
595484691465764863,Foix,Foix,42.9664,1.6078,France,FR,FRA,Occitanie,minor,9472,1250783682
594904948190216191,Vallet,Vallet,47.1622,-1.2656,France,FR,FRA,Pays de la Loire,,9468,1250544633
594904965370085375,Saint-Barthélemy-d’Anjou,Saint-Barthelemy-d'Anjou,47.468,-0.493,France,FR,FRA,Pays de la Loire,,9460,1250748844
595030739192381439,Saint-Amand-Montrond,Saint-Amand-Montrond,46.7,2.51,France,FR,FRA,Centre-Val de Loire,minor,9459,1250072832
595484562616745983,Frouzins,Frouzins,43.5172,1.3256,France,FR,FRA,Occitanie,,9457,1250825720
595032757827010559,Cosne sur Loire,Cosne sur Loire,47.4122,2.9275,France,FR,FRA,Bourgogne-Franche-Comté,minor,9437,1250995203
595484725825503231,Elne,Elne,42.5997,2.971,France,FR,FRA,Occitanie,,9428,1250848284
595485069422886911,Carqueiranne,Carqueiranne,43.0958,6.0742,France,FR,FRA,Provence-Alpes-Côte d’Azur,,9417,1250664228
595031976142962687,Condé-sur-l’Escaut,Conde-sur-l'Escaut,50.45,3.5914,France,FR,FRA,Hauts-de-France,,9396,1250188689
594902156461473791,Saint-Philbert-de-Grand-Lieu,Saint-Philbert-de-Grand-Lieu,47.0358,-1.6386,France,FR,FRA,Pays de la Loire,,9388,1250093900
595032912445833215,Magny-les-Hameaux,Magny-les-Hameaux,48.7363,2.0877,France,FR,FRA,Île-de-France,,9385,1250090597
595033049884786687,Saint-Jean-le-Blanc,Saint-Jean-le-Blanc,47.8928,1.9183,France,FR,FRA,Centre-Val de Loire,,9379,1250437162
595029588141146111,Jarville-la-Malgrange,Jarville-la-Malgrange,48.67,6.2067,France,FR,FRA,Grand Est,,9374,1250407896
595484803134914559,Le Passage,Le Passage,44.2025,0.6042,France,FR,FRA,Nouvelle-Aquitaine,,9373,1250772474
